dMaxWidth = 0.13
dSignalToRefDistance = 3.0

Topology Point : 29.15,22.75 Layer : 1
Topology Point : 28.8513,23.0487 Layer : 1
Topology Point : 28.7275,23.1 Layer : 1
Topology Point : 28.3059,23.1 Layer : 1
Topology Point : 28.2105,23.0605 Layer : 1
Topology Point : 28.1145,22.9645 Layer : 1
Topology Point : 28.0191,22.925 Layer : 1
Topology Point : 23.8809,22.925 Layer : 1
Topology Point : 23.7855,22.8855 Layer : 1
Topology Point : 23.5395,22.6395 Layer : 1
Topology Point : 23.4441,22.6 Layer : 1
Topology Point : 13.5559,22.6 Layer : 1
Topology Point : 13.4605,22.6395 Layer : 1
Topology Point : 12.4395,23.6605 Layer : 1
Topology Point : 12.3441,23.7 Layer : 1
Topology Point : 8.96661,23.7 Layer : 1
Topology Point : 8.87115,23.7395 Layer : 1
Topology Point : 7.63954,24.9712 Layer : 1
Topology Point : 7.6,25.0666 Layer : 1
Topology Point : 7.6,25.4 Layer : 1
Topology Point : 7.35,25.65 Layer : 1
Topology Point : 6.675,25.65 Layer : 1
Topology Point : 6.55,25.525 Layer : 1
Topology Point : 6.55,25.375 Layer : 1
Topology Point : 6.675,25.25 Layer : 1
Topology Point : 7.025,25.25 Layer : 1
Topology Point : 7.15,25.125 Layer : 1
Topology Point : 7.15,24.975 Layer : 1
Topology Point : 7.025,24.85 Layer : 1
Topology Point : 6.575,24.85 Layer : 1
Topology Point : 6.45,24.725 Layer : 1
Topology Point : 6.45,24.575 Layer : 1
Topology Point : 6.575,24.45 Layer : 1
Topology Point : 7.075,24.45 Layer : 1
Topology Point : 7.2,24.325 Layer : 1
Topology Point : 7.2,24.175 Layer : 1
Topology Point : 7.075,24.05 Layer : 1
Topology Point : 6.05,24.05 Layer : 1
Topology Point : 5.8,23.8 Layer : 1
Topology Point : 5.8,23.7 Layer : 1
Topology Point : 6.05,23.45 Layer : 1
Topology Point : 6.4,23.45 Layer : 1
Topology Point : 6.4,23.45 Layer : 4095
Topology Point : 6.4,25.7379 Layer : 3
Topology Point : 6.35607,25.8439 Layer : 3
Topology Point : 5.84393,26.3561 Layer : 3
Topology Point : 5.8,26.4621 Layer : 3
Topology Point : 5.8,33.8379 Layer : 3
Topology Point : 5.84393,33.9439 Layer : 3
Topology Point : 6.35607,34.4561 Layer : 3
Topology Point : 6.4,34.5621 Layer : 3
Topology Point : 6.4,35.75 Layer : 3
Topology Point : 6.4,35.75 Layer : 4095
Topology Point : 6.4,32.2621 Layer : 1
Topology Point : 6.44393,32.1561 Layer : 1
Topology Point : 9.5,29.1 Layer : 1
Topology Point : 9.5,29.1 Layer : 4095
Topology Point : 9.9,28.7 Layer : 8
